Brapa_Gene,Ath_Gene,Identity,Alignment_Length,E_value,Bit_Score,Direction
BraA02g024020,AT1G76060.1,86.452,155,1.57e-93,268,Up
BraA01g004910,AT4G33150.1,90.637,1068,0,1986,Up
BraA06g026070,AT3G49260.1,81.551,477,0,717,Down
BraA03g000890,AT5G03300.1,97.391,345,0,700,Down
BraA09g000920,AT4G00950.1,75.862,290,8.52e-135,384,Down
BraA03g028290,AT4G12520.1,84.211,133,7.49e-68,201,Down
BraA01g011510,AT4G20430.3,88.372,860,0,1533,Down
BraA08g007820,AT1G41830.1,96.125,542,0,1075,Down
BraA09g010210,AT2G11810.1,88.298,470,0,840,Down
BraA03g015850,AT5G50740.5,84.155,284,1.88e-126,362,Down
BraA04g007360,AT3G52500.1,83.772,456,0,782,Down
BraA03g002520,AT5G06270.1,83.607,122,1.67e-52,161,Down
BraA03g000100,AT5G01500.1,89.524,420,0,687,Down
BraA07g039450,AT1G74470.1,94.397,464,0,880,Down
BraA10g008740,AT5G50150.1,82.206,399,0,673,Down
BraA07g028800,AT1G75500.1,94.602,389,0,744,Down
BraA01g031110,AT3G23810.1,98.763,485,0,994,Down
BraA09g009990,AT5G66230.1,68.406,345,2.39e-129,372,Down
BraA01g008720,AT4G28780.1,93.103,203,2.95e-140,396,Down
BraA10g027760,AT5G10180.1,90.99,677,0,1253,Down
BraA02g015010,AT5G53420.1,81.022,274,8.86e-157,438,Down
BraA03g018100,AT2G34680.2,88.804,1697,0,2964,Down
BraA03g002440,AT5G06150.1,80.769,442,0,703,Down
BraA03g001360,AT5G03760.1,94.549,532,0,1055,Down
BraA02g006630,AT5G16590.1,85.486,627,0,1056,Down
BraA07g036170,AT1G70280.2,83.174,523,0,807,Down
BraA03g042290,AT2G04780.1,87.938,257,6.06e-135,380,Down
BraA08g010090,AT4G14040.1,94.456,487,0,961,Down
BraA06g017000,AT1G21090.1,84.016,244,1.56e-141,396,Down
BraA03g056060,AT4G29410.1,89.51,143,5.21e-93,265,Down
BraA06g018290,AT3G49260.1,86.345,476,0,746,Down
BraA03g023570,AT2G44740.1,90.625,192,2.27e-127,357,Down
BraA08g026590,AT1G26960.1,82.642,265,2.56e-156,434,Down
BraA03g040000,AT3G21055.1,86.792,106,2.75e-57,172,Down
BraA06g027220,AT5G62550.1,65.102,490,2.1e-180,511,Down
BraA01g006320,AT4G31590.1,96.532,692,0,1396,Down
BraA03g060810,AT4G35620.1,80.806,422,0,614,Down
BraA03g020360,AT2G38750.1,84.953,319,0,552,Down
BraA08g030320,AT1G15820.1,92.035,226,2.29e-147,415,Down
BraA07g040140,AT1G75500.1,94.643,392,0,748,Down
BraA07g034880,AT1G68780.1,86.183,427,0,748,Down
BraA02g020510,AT1G70550.2,89.103,156,2.37e-104,302,Down
BraA03g048320,AT4G17770.1,93.387,862,0,1687,Down
BraA02g021950,AT1G72730.1,95.864,411,0,822,Down
BraA09g042410,AT1G22430.2,87.179,390,0,701,Down
BraA06g032410,AT5G23860.2,99.332,449,0,939,Down
BraA05g002720,AT2G42260.2,67.681,263,9.93e-107,308,Down
BraA03g002570,AT5G06390.1,90.196,459,0,802,Down
BraA07g031720,AT1G68560.1,88.398,905,0,1693,Down
BraA03g039810,AT3G20390.1,79.787,188,1.71e-90,262,Down
BraA02g010980,AT3G53730.1,100,103,7.73e-69,202,Down
BraA09g036170,AT1G30380.1,94.656,131,9.1e-85,243,Down
BraA05g005160,AT2G45470.1,88.55,393,0,645,Down
BraA07g030990,AT1G70280.2,82.846,513,0,800,Down
BraA08g025260,AT1G27660.1,84.989,453,0,659,Down
BraA09g049050,AT3G56480.1,84.884,344,0,570,Down
BraA01g038330,AT3G14790.2,93.114,668,0,1253,Down
BraA03g032800,AT3G05910.1,94.245,417,0,820,Down
BraA09g046140,AT3G53190.1,91.761,352,0,654,Down
BraA08g006340,AT4G13930.1,93.418,471,0,927,Down
BraA03g045730,AT3G50890.1,76.423,246,1.65e-122,348,Down
BraA03g042070,AT3G25500.1,79.834,1086,0,1354,Down
BraA07g004410,AT2G16750.2,81.863,612,0,999,Down
BraA10g001380,AT1G02730.1,92.353,1190,0,2203,Down
BraA05g004140,AT2G44160.1,94.286,595,0,1186,Down
BraA08g005450,AT1G47210.2,80.914,372,0,617,Down
BraA09g053850,AT4G27830.2,73.333,210,1.25e-107,315,Down
BraA10g023730,AT5G16000.1,90.236,635,0,1159,Down
BraA01g019020,AT4G28250.1,91.698,265,0,503,Down
BraA09g051180,AT3G59400.1,71.429,266,6.02e-117,335,Down
BraA08g012500,AT4G16610.1,74.757,206,5.23e-98,282,Down
BraA07g040720,AT1G76160.1,91.312,541,0,1030,Down
BraA06g017340,AT1G21440.2,89.103,156,5.59e-98,289,Down
BraA07g008140,AT4G22100.1,59.959,492,0,589,Down
BraA03g048030,AT4G17350.1,86.265,415,0,680,Down
BraA07g007250,AT2G05790.1,91.611,453,0,857,Down
BraA09g055280,AT2G24630.1,91.884,690,0,1283,Down
BraA02g039380,AT3G27690.2,97.368,266,0,540,Down
BraA04g027340,AT2G36870.1,91.639,299,0,578,Down
BraA01g039340,AT3G13520.1,90.323,62,1.95e-28,96.3,Down
BraA04g026680,AT2G35860.1,94.379,427,0,784,Down
BraA06g034710,AT5G26670.1,93.046,417,0,812,Down
BraA10g017790,AT5G59870.1,91.333,150,8.59e-90,258,Down
BraA06g033650,AT5G10750.1,63.462,260,1.74e-124,357,Down
BraA09g012260,AT2G19170.1,94.349,814,0,1564,Down
BraA01g006060,AT4G31890.3,89.08,522,0,884,Down
BraA10g032420,AT5G03760.1,94.94,415,0,835,Down
BraA07g024680,AT3G59400.1,73.034,267,7.13e-119,340,Down
BraA03g033410,AT3G06890.1,89.844,128,7.11e-37,122,Down
BraA05g003020,AT2G42570.1,87.466,367,0,663,Down
BraA05g028650,AT3G19553.1,92.243,477,0,859,Down
BraA02g003450,AT5G10310.1,80,100,1.82e-53,164,Down
BraA03g056010,AT4G29240.1,84.682,346,0,609,Down
BraA05g040910,AT3G05470.1,77.74,876,0,1204,Down
BraA06g013990,AT1G18250.1,89.712,243,9.24e-160,442,Down
BraA01g034680,AT3G19820.2,91.622,561,0,1065,Down
BraA08g024080,AT1G29930.1,97.378,267,0,528,Down
BraA08g023330,AT4G38660.1,85.352,355,0,584,Down
BraA10g003120,AT1G04680.1,94.664,431,0,842,Down
BraA03g032530,AT3G05470.1,76.603,889,0,1165,Down
BraA09g036680,AT2G34420.1,98.137,161,3.32e-113,322,Down
BraA03g020240,AT2G38620.2,91.987,312,0,597,Down
BraA07g010350,AT1G31330.1,90.045,221,1.88e-146,407,Down
BraA01g021400,AT4G15450.1,83.465,381,0,628,Down
BraA05g038450,AT3G08920.1,80.282,213,2.69e-120,340,Down
BraA07g011100,AT1G29930.1,97.378,267,0,528,Down
BraA09g003480,AT3G27690.1,98.125,160,1.05e-112,320,Down
BraA06g000430,AT1G55670.1,91.358,162,1.13e-102,291,Down
BraA02g027840,AT4G02290.1,91.683,505,0,940,Down
BraA06g038740,AT3G27690.2,97.368,266,0,540,Down
BraA03g027530,AT4G10340.1,95.714,280,4.18e-173,479,Down
BraA07g007120,AT2G05920.1,89.243,753,0,1358,Down
BraA07g011090,AT1G29930.1,98.758,161,5.29e-114,324,Down
BraA03g026090,AT2G21050.1,96.894,483,0,970,Down
BraA10g012700,AT5G54270.1,97.358,265,0,526,Down
BraA01g029970,AT1G61520.3,93.04,273,9.96e-180,495,Down
