"Brapa_Gene","Ath_Gene"
"BraA06g017000","AT1G21090.1"
"BraA03g056060","AT4G29410.1"
"BraA06g018290","AT3G49260.1"
"BraA03g023570","AT2G44740.1"
"BraA08g026590","AT1G26960.1"
"BraA03g040000","AT3G21055.1"
"BraA06g027220","AT5G62550.1"
"BraA01g006320","AT4G31590.1"
"BraA03g060810","AT4G35620.1"
"BraA03g020360","AT2G38750.1"
"BraA08g030320","AT1G15820.1"
"BraA07g040140","AT1G75500.1"
"BraA07g034880","AT1G68780.1"
"BraA02g020510","AT1G70550.2"
"BraA03g048320","AT4G17770.1"
"BraA02g021950","AT1G72730.1"
"BraA09g042410","AT1G22430.2"
"BraA06g032410","AT5G23860.2"
"BraA05g002720","AT2G42260.2"
"BraA03g002570","AT5G06390.1"
"BraA07g031720","AT1G68560.1"
"BraA03g039810","AT3G20390.1"
"BraA02g010980","AT3G53730.1"
"BraA09g036170","AT1G30380.1"
"BraA05g005160","AT2G45470.1"
"BraA07g030990","AT1G70280.2"
"BraA08g025260","AT1G27660.1"
"BraA09g049050","AT3G56480.1"
"BraA01g038330","AT3G14790.2"
"BraA03g032800","AT3G05910.1"
"BraA09g046140","AT3G53190.1"
"BraA08g006340","AT4G13930.1"
"BraA03g045730","AT3G50890.1"
"BraA03g042070","AT3G25500.1"
"BraA07g004410","AT2G16750.2"
"BraA10g001380","AT1G02730.1"
"BraA05g004140","AT2G44160.1"
"BraA08g005450","AT1G47210.2"
"BraA09g053850","AT4G27830.2"
"BraA10g023730","AT5G16000.1"
"BraA01g019020","AT4G28250.1"
"BraA09g051180","AT3G59400.1"
"BraA08g012500","AT4G16610.1"
"BraA07g040720","AT1G76160.1"
"BraA06g017340","AT1G21440.2"
"BraA07g008140","AT4G22100.1"
"BraA03g048030","AT4G17350.1"
"BraA07g007250","AT2G05790.1"
"BraA09g055280","AT2G24630.1"
"BraA02g039380","AT3G27690.2"
"BraA04g027340","AT2G36870.1"
"BraA01g039340","AT3G13520.1"
"BraA04g026680","AT2G35860.1"
"BraA06g034710","AT5G26670.1"
"BraA10g017790","AT5G59870.1"
"BraA06g033650","AT5G10750.1"
"BraA09g012260","AT2G19170.1"
"BraA01g006060","AT4G31890.3"
"BraA10g032420","AT5G03760.1"
"BraA07g024680","AT3G59400.1"
"BraA03g033410","AT3G06890.1"
"BraA05g003020","AT2G42570.1"
"BraA05g028650","AT3G19553.1"
"BraA02g003450","AT5G10310.1"
"BraA03g056010","AT4G29240.1"
"BraA05g040910","AT3G05470.1"
"BraA06g013990","AT1G18250.1"
"BraA01g034680","AT3G19820.2"
"BraA08g024080","AT1G29930.1"
"BraA08g023330","AT4G38660.1"
"BraA10g003120","AT1G04680.1"
"BraA03g032530","AT3G05470.1"
"BraA09g036680","AT2G34420.1"
"BraA03g020240","AT2G38620.2"
"BraA07g010350","AT1G31330.1"
"BraA01g021400","AT4G15450.1"
"BraA05g038450","AT3G08920.1"
"BraA07g011100","AT1G29930.1"
"BraA09g003480","AT3G27690.1"
"BraA06g000430","AT1G55670.1"
"BraA02g027840","AT4G02290.1"
"BraA06g038740","AT3G27690.2"
"BraA03g027530","AT4G10340.1"
"BraA07g007120","AT2G05920.1"
"BraA07g011090","AT1G29930.1"
"BraA03g026090","AT2G21050.1"
"BraA10g012700","AT5G54270.1"
"BraA01g029970","AT1G61520.3"
